Ticker	Name	CUSIP	ISIN	Currency	Sector	Industry	Last Updated	Prior Tickers	Ticker Change Date	Related Tickers	Exchange	SIC	Perma Ticker	Location	Delisted From	Is Foreign
A	AGILENT TECHNOLOGIES INC	00846U101	US00846U1016	USD	Healthcare	Medical Laboratories & Research	2015-12-22	None	None	None	NYSE	3825	196290	CALIFORNIA, U.S.A	None	N
AA	ALCOA INC.	013817101	US0138171014	USD	Basic Materials	Aluminum	2016-02-20	None	None	None	NYSE	3350	199977	NEW YORK, U.S.A	None	N
AABC	ACCESS ANYTIME BANCORP INC	00431F105	US00431F1057	USD	Financial	Savings & Loans	2016-02-17	None	None	None	DELISTED	6035	None	NEW MEXICO, U.S.A	NASDAQ	N
AAC	AAC Holdings, Inc.	000307108	US0003071083	USD	Healthcare	Specialized Health Services	2015-11-15	None	None	None	NYSE	8093	187592	TENNESSEE, U.S.A	None	N
AACC	ASSET ACCEPTANCE CAPITAL CORP	04543P100	US04543P1003	USD	Financial	Asset Management	2015-09-28	None	None	None	DELISTED	6153	195323	MICHIGAN, U.S.A	NASDAQ	N
AACE	ACE CASH EXPRESS INC	004403101	US0044031013	USD	Financial	Business Services	2015-07-03	None	None	None	DELISTED	6099	178353	TEXAS, U.S.A	NASDAQ	N
AACPF	Australia Acquisition Corp (Foreign)	G06368123	USG063681237	USD	Consumer Goods	Textile - Apparel Clothing	2016-02-01	None	None	AAC,AACOU,AACOW	DELISTED	6770	190934	AUSTRALIA	NASDAQ	Y
AAI	AIRTRAN HOLDINGS INC	00949P108	US00949P1084	USD	Services	Regional Airlines	2015-09-25	None	None	None	DELISTED	4512	188778	FLORIDA, U.S.A	NASDAQ	N
AAIIQ	ALABAMA AIRCRAFT INDUSTRIES, INC	None	None	USD	Industrial Goods	Aerospace/Defense Products & Services	2016-02-17	None	None	AAII	DELISTED	3721	177928	ALABAMA, U.S.A	NASDAQ	N
AAIR	Avantair, Inc	05350T101	US05350T1016	USD	Services	Specialized Health Services	2016-02-17	None	None	None	DELISTED	4522	195013	FLORIDA, U.S.A	OTCMKTS	N
AAL	American Airlines Group Inc.	02376R102	US02376R1023	USD	Services	Regional Airlines	2016-02-25	None	None	AMR,AAMRQ	NASDAQ	4512	199960	TEXAS, U.S.A	None	N
AAMC	Altisource Asset Management Corp	02153X108	US02153X1081	USD	Financial	Property Management	2015-11-12	None	None	None	OTCMKTS	6500	191808	VIRGIN ISLANDS, U.S.	None	N
AAME	ATLANTIC AMERICAN CORP	048209100	US0482091008	USD	Financial	Life Insurance	2015-12-17	None	None	None	NASDAQ	6311	199933	GEORGIA, U.S.A	None	N
AAN	AARON'S INC	002535300	US0025353006	USD	Services	Rental & Leasing Services	2015-11-11	None	None	None	NYSE	7359	198929	GEORGIA, U.S.A	None	N
AAOI	APPLIED OPTOELECTRONICS, INC.	03823U102	US03823U1025	USD	Technology	Communication Equipment	2015-12-22	None	None	None	NASDAQ	3674	195742	TEXAS, U.S.A	None	N
AAON	AAON INC	000036020	US0000360208	USD	Industrial Goods	General Building Materials	2016-02-27	None	None	None	NASDAQ	3585	198259	OKLAHOMA, U.S.A	None	N
AAP	ADVANCE AUTO PARTS INC	00751Y106	US00751Y1064	USD	Services	Auto Parts Stores	2015-11-18	None	None	None	NYSE	5531	195735	VIRGINIA, U.S.A	None	N
AAPL	APPLE INC	037833100	US0378331005	USD	Technology	Electronic Equipment	2016-01-28	None	None	None	NASDAQ	3571	199059	CALIFORNIA, U.S.A	None	N
AAT	American Assets Trust, Inc.	024013104	US0240131047	USD	Financial	REIT - Retail	2016-02-21	None	None	None	NYSE	6798	192715	CALIFORNIA, U.S.A	None	N
AATI	ADVANCED ANALOGIC TECHNOLOGIES INC	00752J108	US00752J1088	USD	Technology	Communication Equipment	2015-09-28	None	None	None	DELISTED	3674	188936	CALIFORNIA, U.S.A	NASDAQ	N
AAVL	Avalanche Biotechnologies, Inc.	None	None	USD	Healthcare	Drugs - Generic	2015-11-15	None	None	None	NASDAQ	2836	187492	CALIFORNIA, U.S.A	None	N
AAWW	ATLAS AIR WORLDWIDE HOLDINGS INC	049164205	US0491642056	USD	Services	Air Services, Other	2016-02-19	None	None	None	NASDAQ	4522	195866	NEW YORK, U.S.A	None	N
AB	ALLIANCEBERNSTEIN HOLDING L.P.	01881G106	US01881G1067	USD	Financial	Asset Management	2016-02-12	None	None	None	NYSE	6282	198257	NEW YORK, U.S.A	None	N
ABAC	AOXIN TIANLI GROUP, INC.	G8883T104	USG8883T1046	USD	Consumer Goods	Food - Major Diversified	2015-11-15	None	None	None	NASDAQ	200	193000	CHINA	None	N
ABAT	ADVANCED BATTERY TECHNOLOGIES, INC.	None	None	USD	Utilities	Conglomerates	2015-07-27	None	None	None	DELISTED	3690	186921	NEW YORK, U.S.A	OTCMKTS	N
ABAX	ABAXIS INC	000256710	US0002567107	USD	Healthcare	Diagnostic Substances	2016-02-11	None	None	None	NASDAQ	3829	197860	CALIFORNIA, U.S.A	None	N
